pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
PCSECTYTDV7DGJ4R,Natures Plus IMG_0004 Plant Container Set,Natures Plus,http://www.flipkart.com/natures-plus-img-0004-plant-container-set/p/itmectytn52wg7xj?pid=PCSECTYTDV7DGJ4R,390,159,5.0
PCSECTYTDV7DGJ4R,Natures Plus IMG_0004 Plant Container Set,Natures Plus,http://www.flipkart.com/natures-plus-img-0004-plant-container-set/p/itmectytn52wg7xj?pid=PCSECTYTDV7DGJ4R,390,159,5.0
PCSECTYTDV7DGJ4R,Natures Plus IMG_0004 Plant Container Set,Natures Plus,http://www.flipkart.com/natures-plus-img-0004-plant-container-set/p/itmectytn52wg7xj?pid=PCSECTYTDV7DGJ4R,390,159,5.0
PCSECTYTDV7DGJ4R,Natures Plus IMG_0004 Plant Container Set,Natures Plus,http://www.flipkart.com/natures-plus-img-0004-plant-container-set/p/itmectytn52wg7xj?pid=PCSECTYTDV7DGJ4R,390,159,5.0
PCSECTYTDV7DGJ4R,Natures Plus IMG_0004 Plant Container Set,Natures Plus,http://www.flipkart.com/natures-plus-img-0004-plant-container-set/p/itmectytn52wg7xj?pid=PCSECTYTDV7DGJ4R,390,159,5.0
PCSECTYTDV7DGJ4R,Natures Plus IMG_0004 Plant Container Set,Natures Plus,http://www.flipkart.com/natures-plus-img-0004-plant-container-set/p/itmectytn52wg7xj?pid=PCSECTYTDV7DGJ4R,390,159,5.0
PCSECTYTDV7DGJ4R,Natures Plus IMG_0004 Plant Container Set,Natures Plus,http://www.flipkart.com/natures-plus-img-0004-plant-container-set/p/itmectytn52wg7xj?pid=PCSECTYTDV7DGJ4R,390,159,5.0
PCSECTYTDV7DGJ4R,Natures Plus IMG_0004 Plant Container Set,Natures Plus,http://www.flipkart.com/natures-plus-img-0004-plant-container-set/p/itmectytn52wg7xj?pid=PCSECTYTDV7DGJ4R,390,159,5.0
SNRDWTGQ9FDKB33Y,Just Herbs Sunnil Jojoba-Grapeseed Moisturising Sun Protection Lotion - SPF 30,,http://www.flipkart.com/just-herbs-sunnil-jojoba-grapeseed-moisturising-sun-protection-lotion-spf-30/p/itmdwtgq9tbyywgc?pid=SNRDWTGQ9FDKB33Y,395,159,5.0
CAGE5HYNQNGHJ2TY,Playboy New York Combo Set,,http://www.flipkart.com/playboy-new-york-combo-set/p/itmebkz2sm6cfpdg?pid=CAGE5HYNQNGHJ2TY,398,159,5.0
ACCDXH5JXWABF7GH,i-KitPit Pouch for Lenovo A369i,i-KitPit,http://www.flipkart.com/i-kitpit-pouch-lenovo-a369i/p/itmdxh5jhvutchv6?pid=ACCDXH5JXWABF7GH,399,159,5.0
ACCEGKDGVZWHYV5H,CONVENIENCE vm46 headphone for XIOMI Mi4 and Mi4i Signature vm46 Stereo Wired Headphones,CONVENIENCE,http://www.flipkart.com/convenience-vm46-headphone-xiomi-mi4-mi4i-signature-stereo-wired-headphones/p/itmegkdguumzrcvk?pid=ACCEGKDGVZWHYV5H,399,159,5.0
SNDE2RSFZ7Y3G7Y8,Do Bhai Women Flats,,http://www.flipkart.com/do-bhai-women-flats/p/itme2rsf5nq2ay4u?pid=SNDE2RSFZ7Y3G7Y8,399,159,5.0
DGBDFGE4UJQDEZSJ,Complete Italian (Learn Italian with Teach Yourself): Enhanced eBook: New edition,,http://www.flipkart.com/complete-italian-learn-teach-yourself-enhanced-ebook-new/p/itme56yfcvfyakf4?pid=DGBDFGE4UJQDEZSJ,425,280,5.0
DGBDFGE4UJQDEZSJ,Complete Italian (Learn Italian with Teach Yourself): Enhanced eBook: New edition,,http://www.flipkart.com/complete-italian-learn-teach-yourself-enhanced-ebook-new/p/itme56yfcvfyakf4?pid=DGBDFGE4UJQDEZSJ,425,280,5.0
DGBDFGE4UJQDEZSJ,Complete Italian (Learn Italian with Teach Yourself): Enhanced eBook: New edition,,http://www.flipkart.com/complete-italian-learn-teach-yourself-enhanced-ebook-new/p/itme56yfcvfyakf4?pid=DGBDFGE4UJQDEZSJ,425,280,5.0
DGBDFGE4UJQDEZSJ,Complete Italian (Learn Italian with Teach Yourself): Enhanced eBook: New edition,,http://www.flipkart.com/complete-italian-learn-teach-yourself-enhanced-ebook-new/p/itme56yfcvfyakf4?pid=DGBDFGE4UJQDEZSJ,425,280,5.0
DGBDFGE4UJQDEZSJ,Complete Italian (Learn Italian with Teach Yourself): Enhanced eBook: New edition,,http://www.flipkart.com/complete-italian-learn-teach-yourself-enhanced-ebook-new/p/itme56yfcvfyakf4?pid=DGBDFGE4UJQDEZSJ,425,280,5.0
SBSDUTY7DB4PDJJS,Bosch 2 607 001 526 Extra Hard Screwdriver Bit Set,Bosch,http://www.flipkart.com/bosch-2-607-001-526-extra-hard-screwdriver-bit-set/p/itmdv9u9cqcx9vd8?pid=SBSDUTY7DB4PDJJS,433,280,5.0
NKCE3Y5PHMWUUWQ3,JDX Alloy Necklace,JDX,http://www.flipkart.com/jdx-alloy-necklace/p/itme3y5pubghrmb8?pid=NKCE3Y5PHMWUUWQ3,450,280,5.0
SNDEBCQZHYXUYHPN,Ortho + Rest Women Flats,,http://www.flipkart.com/ortho-rest-women-flats/p/itmebcqzknqp2bxf?pid=SNDEBCQZHYXUYHPN,450,280,5.0
BTWE5QUGZHGG8YZH,Mandhania Cotton Bath Towel,Mandhania,http://www.flipkart.com/mandhania-cotton-bath-towel/p/itme5qugdy6psdsh?pid=BTWE5QUGZHGG8YZH,490,280,5.0
NKCDWBPZEYFAGCW5,"Voylla Metal, Alloy Necklace",Voylla,http://www.flipkart.com/voylla-metal-alloy-necklace/p/itmdwbpzvrhyzesz?pid=NKCDWBPZEYFAGCW5,490,122,5.0
NKCDWBPZEYFAGCW5,"Voylla Metal, Alloy Necklace",Voylla,http://www.flipkart.com/voylla-metal-alloy-necklace/p/itmdwbpzvrhyzesz?pid=NKCDWBPZEYFAGCW5,490,122,5.0
NKCDWBPZEYFAGCW5,"Voylla Metal, Alloy Necklace",Voylla,http://www.flipkart.com/voylla-metal-alloy-necklace/p/itmdwbpzvrhyzesz?pid=NKCDWBPZEYFAGCW5,490,122,5.0
NKCDWBPZEYFAGCW5,"Voylla Metal, Alloy Necklace",Voylla,http://www.flipkart.com/voylla-metal-alloy-necklace/p/itmdwbpzvrhyzesz?pid=NKCDWBPZEYFAGCW5,490,122,5.0
NKCDWBPZEYFAGCW5,"Voylla Metal, Alloy Necklace",Voylla,http://www.flipkart.com/voylla-metal-alloy-necklace/p/itmdwbpzvrhyzesz?pid=NKCDWBPZEYFAGCW5,490,122,5.0
NKCDWBPZEYFAGCW5,"Voylla Metal, Alloy Necklace",Voylla,http://www.flipkart.com/voylla-metal-alloy-necklace/p/itmdwbpzvrhyzesz?pid=NKCDWBPZEYFAGCW5,490,122,5.0
NKCDWBPZEYFAGCW5,"Voylla Metal, Alloy Necklace",Voylla,http://www.flipkart.com/voylla-metal-alloy-necklace/p/itmdwbpzvrhyzesz?pid=NKCDWBPZEYFAGCW5,490,122,5.0
NKCDRDWAZU9ZJNHZ,Hi Look Alloy Necklace,Hi Look,http://www.flipkart.com/hi-look-alloy-necklace/p/itmdrdwbbwhzgbzw?pid=NKCDRDWAZU9ZJNHZ,495,122,5.0
BRAE3CYXV4JGWEDA,JSR Paris Beauty Pro Women's Full Coverage Bra,Black,http://www.flipkart.com/jsr-paris-beauty-pro-women-s-full-coverage-bra/p/itme3cyxgjetkzxh?pid=BRAE3CYXV4JGWEDA,499,122,5.0
